2026-02-20 18:10:22 | INFO | __main__ | Logging initialized. Log file: logs\hand_gesture.log
2026-02-20 18:10:23 | INFO | hand_gesture.controller | Hand Gesture Recognition started. Press 'q' to quit.
2026-02-20 18:10:23 | DEBUG | hand_gesture.actions | Updated external target window: hwnd=1115680
2026-02-20 18:10:23 | DEBUG | hand_gesture.controller | Frame 1: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:23 | DEBUG | hand_gesture.controller | Frame 2: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:23 | DEBUG | hand_gesture.controller | Frame 3: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:23 | DEBUG | hand_gesture.controller | Frame 4: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:23 | DEBUG | hand_gesture.controller | Frame 5: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:24 | DEBUG | hand_gesture.controller | Frame 6: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:24 | DEBUG | hand_gesture.controller | Frame 7: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:24 | DEBUG | hand_gesture.controller | Frame 8: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:24 | DEBUG | hand_gesture.controller | Frame 9: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:24 | DEBUG | hand_gesture.controller | Frame 10: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:24 | DEBUG | hand_gesture.controller | Frame 11: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:24 | DEBUG | hand_gesture.controller | Frame 12: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:24 | DEBUG | hand_gesture.controller | Frame 13: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:24 | DEBUG | hand_gesture.controller | Frame 14: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:24 | DEBUG | hand_gesture.controller | Frame 15: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:24 | DEBUG | hand_gesture.controller | Frame 16: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:24 | DEBUG | hand_gesture.controller | Frame 17: finger_count=0 finger_state=None mapped_action=None task_view_active=False
2026-02-20 18:10:24 | DEBUG | hand_gesture.controller | Frame 18: finger_count=0 finger_state=None mapped_action=None task_view_active=False
